,ARN,trx_date,posted_date,quarter,FT,FT description
0,05185243010029351149884,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
1,05185243010029351105662,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
2,05185243010029351082242,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
3,05185243010029351011258,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
4,05185243010029351027288,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
5,05185243010029350865498,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
6,05185243010029350750518,2023-01-10,2023-01-12,1,1,Zgubienie lub kradzież karty
7,05185242364029212952124,2022-12-30,2023-01-23,1,1,Zgubienie lub kradzież karty
8,05185242364029212997210,2022-12-30,2023-01-23,1,1,Zgubienie lub kradzież karty
9,05185242358029145813789,2022-12-24,2023-03-28,1,2,Nieodebrana karta
10,05185242358029146394821,2022-12-24,2023-03-28,1,2,Nieodebrana karta
11,05185242358029148095855,2022-12-24,2023-03-28,1,2,Nieodebrana karta
12,05185243010029345915846,2023-01-10,2023-01-31,1,0,Zgubienie lub kradzież karty
13,05185243010029346132177,2023-01-10,2023-01-31,1,0,Zgubienie lub kradzież karty
14,05185242276027737386171,2022-10-03,2022-10-04,4,0,Zgubienie lub kradzież karty
15,05185243060030110609530,2023-03-01,2023-03-04,1,0,Zgubienie lub kradzież karty
16,05185243065030200228121,2023-03-06,2023-03-23,1,0,Zgubienie lub kradzież karty
