,num,name,ilosc,wartosc
0,1,Austria,2554,771344.4900
1,2,Belgia,4941,1213501.3200
2,3,Bułgaria,332,116459.0100
3,4,Chorwacja,251,46918.7300
4,5,Cypr,151,47209.5200
5,6,Czechy,20489,8318534.0800
6,7,Dania,4040,1341061.8900
7,8,Estonia,740,211022.2500
8,9,Finlandia,1288,240718.7900
9,10,Francja,3747,966624.4800
10,11,Grecja,396,93129.3300
11,12,Hiszpania,1635,402616.8500
12,13,Holandia,9715,2651349.8900
13,14,Irlandia,5915,2439330.3100
14,15,Islandia,2133,670764.6700
15,16,Litwa ,6166,1877317.3200
16,17,Liechtenstein,13,3669.0000
17,18,Luksemburg,292,158973.7400
18,19,Łotwa,1053,255185.8900
19,20,Malta,120,26395.8300
20,21,Niemcy,50522,16928664.0800
21,22,Norwegia,10130,3038835.2300
22,23,Polska,0,0.0000
23,24,Portugalia,379,88236.3300
24,25,Rumunia,693,300781.8400
25,26,Słowacja,4273,1579678.2000
26,27,Słowenia,141,46339.8400
27,28,Szwecja,5440,1715516.0900
28,29,Węgry,511,182565.5200
29,30,Włochy,3364,792264.5300
30,31,Krajowe,5887804,1448866253.9200
31,32,Pozostałe kraje świata (poza EOG),139701,40000739.5900
