,code,num,ilosc,wartosc
0,AT,1,0,0.0000
1,BE,2,0,0.0000
2,BG,3,0,0.0000
3,HR,4,0,0.0000
4,CY,5,0,0.0000
5,CZ,6,0,0.0000
6,DK,7,0,0.0000
7,EE,8,0,0.0000
8,FI,9,0,0.0000
9,FR,10,0,0.0000
10,GR,11,0,0.0000
11,ES,12,0,0.0000
12,NL,13,0,0.0000
13,IE,14,0,0.0000
14,IS,15,0,0.0000
15,LT,16,0,0.0000
16,LI,17,0,0.0000
17,LU,18,0,0.0000
18,LV,19,0,0.0000
19,MT,20,0,0.0000
20,DE,21,0,0.0000
21,NO,22,0,0.0000
22,PL,23,0,0.0000
23,PT,24,0,0.0000
24,RO,25,0,0.0000
25,SK,26,0,0.0000
26,SI,27,0,0.0000
27,SE,28,0,0.0000
28,HU,29,0,0.0000
29,IT,30,0,0.0000
30,W2,31,0,0.0000
31,G1,32,1,50.0000
